,bimodal gene numbers(silverman),bimodal gene numbers(scott),bimodal gene list(silverman),bimodal gene list(scott)
Danish,16,16,"K00314,K02663,K02664,K04110,K06893,K07022,K07389,K07671,K09490,K10562,K11707,K11708,K11709,K11710,K12856,K13931","K00314,K02663,K02664,K04110,K06893,K07022,K07389,K07671,K09490,K10562,K11707,K11708,K11709,K11710,K12856,K13931"
Spanish,11,20,"K00400,K02663,K03231,K03289,K07463,K10725,K11707,K11708,K11709,K11710,K14430","K00399,K00400,K02322,K02663,K03006,K03041,K03042,K03231,K03243,K03278,K03289,K06932,K07463,K10725,K11707,K11708,K11709,K11710,K13933,K14430"
American,3,8,"K00561,K04058,K11328","K00561,K02663,K04058,K06418,K06900,K11328,K11337,K12991"
3_countries_combined,10,11,"K02663,K03283,K03289,K07671,K09802,K11707,K11708,K11709,K11710,K12436","K02663,K03006,K03283,K03289,K07671,K09802,K11707,K11708,K11709,K11710,K12436"
Human_nose,41,46,"K00076,K01822,K03607,K03822,K04789,K04790,K05898,K07068,K07334,K07671,K08726,K09472,K09882,K10533,K11534,K11609,K11610,K12234,K12421,K12429,K12950,K13540,K13669,K14953,K14954,K15510,K15982,K15983,K16150,K16645,K18913,K18939,K18958,K19311,K19777,K20466,K21119,K21140,K21608,K22107,K22303","K00076,K01822,K03607,K03822,K04073,K04789,K04790,K05898,K07068,K07334,K07671,K08726,K09472,K09882,K10533,K11082,K11084,K11534,K11608,K11609,K11610,K12234,K12421,K12429,K12950,K13540,K13669,K14953,K14954,K15510,K15982,K15983,K16150,K16645,K18913,K18939,K18958,K19311,K19746,K19777,K20466,K21119,K21140,K21608,K22107,K22303"
Human_cheek,37,43,"K01822,K03607,K04789,K04790,K06718,K07011,K07334,K07671,K08095,K11081,K11084,K11534,K11609,K11610,K11611,K12421,K12429,K12950,K13669,K14698,K14953,K15868,K15981,K15983,K16051,K16150,K16229,K16645,K18481,K18939,K19311,K19777,K20466,K21119,K21474,K21608,K22295","K01822,K03607,K04789,K04790,K06718,K07011,K07068,K07313,K07334,K07671,K08095,K09472,K10533,K11081,K11084,K11534,K11609,K11610,K11611,K12421,K12429,K12950,K13669,K14698,K14953,K14954,K15868,K15981,K15983,K16051,K16150,K16229,K16645,K18481,K18939,K19311,K19777,K20466,K21119,K21474,K21608,K21992,K22295"
Human_forehead,73,84,"K00076,K00365,K01822,K02164,K03607,K03822,K03829,K04781,K04789,K04790,K05898,K06718,K06937,K07068,K07334,K07671,K08095,K08726,K09472,K09882,K10215,K10533,K10576,K10674,K11081,K11084,K11534,K11608,K11609,K11610,K11611,K12213,K12234,K12421,K12429,K12433,K12950,K13540,K13669,K14698,K14699,K14953,K14954,K15510,K15868,K15877,K15981,K15982,K15983,K16048,K16051,K16150,K16229,K16645,K17476,K18481,K18913,K18939,K18958,K19190,K19311,K19746,K19777,K20466,K21119,K21140,K21512,K21608,K21689,K21992,K22107,K22297,K22303","K00076,K00365,K00545,K01569,K01822,K02164,K03607,K03822,K03829,K04781,K04789,K04790,K04791,K05898,K06718,K06937,K07011,K07068,K07334,K07671,K08095,K08726,K09146,K09472,K09882,K10215,K10533,K10576,K10674,K11081,K11082,K11084,K11385,K11534,K11608,K11609,K11610,K11611,K12213,K12214,K12234,K12421,K12429,K12433,K12950,K13540,K13669,K14698,K14699,K14953,K14954,K15510,K15868,K15877,K15981,K15982,K15983,K16048,K16051,K16150,K16229,K16385,K16645,K17476,K17840,K18481,K18913,K18939,K18958,K19190,K19311,K19746,K19777,K20466,K21119,K21140,K21512,K21608,K21689,K21962,K21992,K22107,K22297,K22303"
Pig,53,74,"K00029,K00104,K00278,K00432,K00561,K00563,K00663,K00677,K00705,K00767,K00856,K00897,K00984,K01051,K01205,K01212,K01213,K01304,K01744,K01828,K01951,K02115,K02429,K02775,K02891,K03077,K03154,K03517,K03549,K03892,K05593,K05794,K05942,K06665,K06941,K06979,K07114,K07165,K07239,K07273,K07516,K07672,K07704,K07798,K07827,K08191,K08289,K09954,K10819,K11912,K11921,K12814,K14654","K00029,K00104,K00208,K00278,K00432,K00480,K00561,K00563,K00663,K00677,K00705,K00767,K00777,K00856,K00897,K00984,K01044,K01051,K01205,K01212,K01213,K01304,K01627,K01629,K01744,K01828,K01951,K02109,K02113,K02115,K02195,K02429,K02587,K02737,K02775,K02891,K03077,K03154,K03458,K03517,K03549,K03892,K05394,K05593,K05794,K05942,K06651,K06665,K06941,K06974,K06979,K07085,K07106,K07114,K07165,K07239,K07273,K07516,K07672,K07704,K07798,K07827,K08191,K08221,K08223,K08289,K08682,K09954,K10819,K11912,K11921,K12814,K14096,K14654"
Mouse,55,74,"K00265,K00570,K00619,K00801,K00835,K01137,K01308,K01669,K01792,K02001,K02002,K02017,K02655,K02745,K02746,K02806,K03179,K03229,K03641,K03684,K03741,K03816,K03974,K04936,K05367,K05972,K06860,K06921,K07104,K07168,K07217,K07788,K08320,K08641,K08981,K08990,K09181,K09820,K09914,K10113,K10191,K10237,K10679,K10826,K11337,K11384,K11695,K11751,K12617,K12943,K13640,K13670,K13819,K14807,K14940","K00096,K00265,K00570,K00619,K00801,K00835,K01137,K01308,K01669,K01731,K01792,K02001,K02002,K02017,K02454,K02655,K02656,K02745,K02746,K02806,K03117,K03179,K03229,K03619,K03641,K03684,K03741,K03816,K03974,K04936,K05367,K05972,K06044,K06860,K06921,K07104,K07168,K07217,K07453,K07653,K07686,K07788,K08073,K08320,K08641,K08981,K08990,K09181,K09820,K09914,K10113,K10191,K10237,K10679,K10826,K10832,K10943,K11127,K11337,K11384,K11695,K11751,K12556,K12617,K12735,K12943,K13640,K13670,K13819,K14060,K14265,K14317,K14807,K14940"
Marine,88,124,"K00066,K00132,K00170,K00246,K00313,K00381,K00416,K00452,K00455,K00528,K00889,K01473,K01474,K01512,K01975,K02016,K02039,K02068,K02182,K02304,K02380,K02722,K02796,K02849,K03214,K03382,K03821,K03887,K04034,K04069,K04615,K04720,K04835,K04963,K05281,K05356,K05396,K05572,K05799,K06015,K06110,K06320,K06862,K06877,K06915,K06989,K06990,K07256,K07291,K07395,K07701,K07703,K07790,K08321,K08603,K09120,K09131,K09141,K09641,K09804,K10001,K10002,K10003,K10004,K10453,K10670,K10671,K10672,K10764,K10852,K10960,K11930,K11959,K12134,K12255,K12372,K13138,K13143,K13426,K13888,K14048,K14165,K14611,K14954,K15371,K15514,K15735,K15783","K00066,K00132,K00170,K00246,K00313,K00368,K00381,K00416,K00452,K00455,K00528,K00674,K00889,K00906,K00992,K01295,K01473,K01474,K01512,K01662,K01808,K01918,K01975,K02016,K02017,K02020,K02037,K02039,K02068,K02182,K02304,K02380,K02472,K02584,K02701,K02722,K02796,K02849,K03082,K03135,K03214,K03382,K03455,K03821,K03887,K04034,K04040,K04069,K04080,K04615,K04720,K04835,K04919,K04935,K04963,K04996,K05281,K05356,K05396,K05572,K05799,K06015,K06110,K06320,K06877,K06915,K06989,K06990,K07256,K07291,K07395,K07701,K07703,K07739,K07790,K08321,K08603,K09120,K09131,K09141,K09163,K09641,K09804,K10001,K10002,K10003,K10004,K10015,K10023,K10453,K10670,K10671,K10672,K10764,K10808,K10817,K10852,K10956,K10960,K11806,K11930,K11959,K12134,K12255,K12372,K12600,K13138,K13143,K13333,K13426,K13888,K14001,K14048,K14083,K14165,K14611,K14954,K15304,K15371,K15514,K15552,K15735,K15783,K15925"
